datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Lenzerheide,Alpine combined,10,23.42
12-03-2016,Lenzerheide,Super G,37,33.91
07-03-2016,Jasna,Giant Slalom,DNQ1,
06-03-2016,Jasna,Slalom,DNQ1,
28-02-2016,Soldeu- El Tarter,Alpine combined,14,23.52
27-02-2016,Soldeu- El Tarter,Super G,38,52.75
21-02-2016,La Thuile,Super G,25,57.94
30-01-2016,Maribor,Giant Slalom,DNQ1,
17-01-2016,Flachau,Giant Slalom,DNQ1,
15-01-2016,Flachau,Slalom,DNQ1,
12-01-2016,Flachau,Slalom,DNQ1,
29-12-2015,Lienz,Slalom,DNQ1,
28-12-2015,Lienz,Giant Slalom,DNQ1,
20-12-2015,Courchevel,Giant Slalom,DNQ1,
13-12-2015,Are,Slalom,DNF1,
12-12-2015,Are,Giant Slalom,DNQ1,
29-11-2015,"Aspen, CO",Slalom,DNQ1,
28-11-2015,"Aspen, CO",Slalom,DSQ1,
27-11-2015,"Aspen, CO",Giant Slalom,24,35.92
24-10-2015,Soelden,Giant Slalom,DNF1,
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNQ1,
12-12-2014,Are,Giant Slalom,DNQ1,
25-10-2014,Soelden,Giant Slalom,DNQ1,
16-11-2013,Levi,Slalom,DNQ1,
