datum,kraj,disciplina,mesto,zaostanek
16-01-2016,Wengen,Downhill,55,70.43
19-12-2015,Val Gardena / Groeden,Downhill,42,30.38
05-12-2015,Beaver Creek,Super G,DNF1,
29-11-2015,Lake Louise,Super G,39,31.93
08-03-2015,Kvitfjell,Super G,29,25.05
18-01-2015,Wengen,Downhill,38,33.14
16-01-2015,Wengen,Alpine combined,DSQ2,
19-12-2014,Val Gardena / Groeden,Downhill,DNF1,
05-12-2014,Beaver Creek,Downhill,32,27.95
30-11-2014,Lake Louise,Super G,32,23.12
29-11-2014,Lake Louise,Downhill,17,14.29
26-10-2014,Soelden,Giant Slalom,DNQ1,
01-03-2014,Kvitfjell,Downhill,33,27.34
28-02-2014,Kvitfjell,Downhill,23,18.14
26-01-2014,Kitzbuehel,Super Combined,20,33.64
26-01-2014,Kitzbuehel,Super G,35,15.52
25-01-2014,Kitzbuehel,Downhill,22,23.76
18-01-2014,Wengen,Downhill,23,17.74
29-12-2013,Bormio,Downhill,20,21.38
21-12-2013,Val Gardena / Groeden,Downhill,15,16.09
20-12-2013,Val Gardena / Groeden,Super G,27,32.98
07-12-2013,Beaver Creek,Super G,DNF1,
06-12-2013,Beaver Creek,Downhill,26,27.66
01-12-2013,Lake Louise,Super G,37,25.86
30-11-2013,Lake Louise,Downhill,34,34.03
03-03-2013,Kvitfjell,Super G,24,25.14
02-03-2013,Kvitfjell,Downhill,27,29.68
23-02-2013,Garmisch-Partenkirchen,Downhill,41,29.69
27-01-2013,Kitzbuehel,Super Combined,DNF1,
26-01-2013,Kitzbuehel,Downhill,DNF1,
25-01-2013,Kitzbuehel,Super G,23,25.23
19-01-2013,Wengen,Downhill,26,29.90
18-01-2013,Wengen,Super Combined,28,29.53
29-12-2012,Bormio,Downhill,21,22.41
16-12-2012,Alta Badia,Giant Slalom,DNQ1,
15-12-2012,Val Gardena-Groeden,Downhill,22,18.66
14-12-2012,Val Gardena-Groeden,Super G,36,33.57
02-12-2012,Beaver Creek,Giant Slalom,DNF1,
01-12-2012,Beaver Creek,Super G,12,18.00
30-11-2012,Beaver Creek,Downhill,4,8.08
25-11-2012,Lake Louise,Super G,36,29.97
24-11-2012,Lake Louise,Downhill,11,19.61
28-10-2012,Soelden,Giant Slalom,DNF1,
04-03-2012,Kvitfjell,Super G,DNF1,
03-03-2012,Kvitfjell,Downhill,37,34.21
02-03-2012,Kvitfjell,Super G,22,19.40
15-01-2010,Wengen,Super Combined,DSQ1,
12-12-2009,Val d'Isere,Super G,DNF1,
11-12-2009,Val d'Isere,Super Combined,30,64.96
06-12-2009,Beaver Creek,Giant Slalom,DNF1,
29-11-2009,Lake Louise,Super G,28,24.52
28-11-2009,Lake Louise,Downhill,57,38.41
25-10-2009,Soelden,Giant Slalom,DNQ1,
28-02-2009,Kranjska Gora,Giant Slalom,DNQ1,
22-02-2009,Sestriere,Super Combined,31,38.80
21-02-2009,Sestriere,Giant Slalom,DNF1,
