datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,17
07-03-2016,Jasna,Giant Slalom,22
06-03-2016,Jasna,Slalom,DNF1
15-02-2016,Crans Montana,Slalom,14
30-01-2016,Maribor,Giant Slalom,DNQ1
17-01-2016,Flachau,Giant Slalom,20
15-01-2016,Flachau,Slalom,25
12-01-2016,Flachau,Slalom,DNF1
05-01-2016,Santa Caterina Valfurva,Slalom,DNF1
29-12-2015,Lienz,Slalom,9
28-12-2015,Lienz,Giant Slalom,DNQ1
20-12-2015,Courchevel,Giant Slalom,15
13-12-2015,Are,Slalom,13
12-12-2015,Are,Giant Slalom,DNQ1
29-11-2015,"Aspen, CO",Slalom,DNQ1
28-11-2015,"Aspen, CO",Slalom,14
27-11-2015,"Aspen, CO",Giant Slalom,DNF1
24-10-2015,Soelden,Giant Slalom,DNF1
14-03-2015,Are,Slalom,DNF1
13-03-2015,Are,Giant Slalom,DNF1
22-02-2015,Maribor,Slalom,DNF1
13-01-2015,Flachau,Slalom,DNQ1
